source_identifier,source,first_name,last_name,current_title,current_company,email,photo_url,facebook_url,twitter_url,linkedin_url
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
dev,tracc,ayo,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/
full,TGd,mario,akintan,mr,traccsystem,owolabidevelop84@gmail.com,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/,http://127.0.0.1:8000/prospect/add/



